product,Attributes,Calories,Calories from Fat,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Carbohydrate,Dietary Fibre,Sugars,Protein,Energy,Iron,Calcium,Energy from Fat
Julie's Crackers - Butter,Per Serving (25g),140kcal,70g,8g,3.5g,0g,0mg,140mg,15g,0g,2g,2g,,,,
Julie's Veggie Crackers,Per Serving (23g),,,6g,2.5g,0g,0mg,140mg,14g,0g,1g,2g,120kcal,,,
Ritz Crackers Box - Original,Per Serving (19g),,,5g,,,,130mg,12g,,1g,1g,100kcal,,,
Hup Seng Crackers - Cream,Per Serving (31g),150,60,7g,4g,0g,0mg,180mg,,1g,3g,,,,,
Hup Seng Crackers - Sugar,Per Serving (22.5g),110kcal,25kcal,3g,1.5g,0g,0mg,140mg,19g,4g,4g,2g,,,,
Munchy's Crackers - Cream,Per Serving (100g),485kcal,170kcal,19g,9g,0g,0mg,510mg,68g,3g,2g,9g,,,,
FairPrice Cream Crackers - Special,Per Serving (100g),,,22.8g,11.1g,0.1g,0mg,419mg,67g,1.9g,13.9g,6.8g,501kcal,,,
FairPrice Cream Crackers,Per Serving (100g),,,21.5g,9.7g,0.0g,0mg,367mg,73.6g,2g,1.6g,8.6g,443kcal,,,
Munchy's Crackers - Sugar,Per Serving (30g),140kcal,45kcal,6g,2.5g,,0mg,160mg,21g,1g,4g,3g,,,,
Khong Guan Crackers - Cream,Per Serving (26g),118kcal,33kcal,4g,2g,0g,0mg,215mg,18g,1g,1g,3g,,,,
Julie's Crackers - Wheat,Per Serving (25g),130cal,70cal,8g,3.5g,0g,0mg,160mg,15g,1g,1g,2g,,,,
Hup Seng Crackers - Cream (Special),Per Serving (22.5g),120kcal,60kcal,6g,3g,0g,0mg,100mg,14g,1g,1g,2g,,,,
Munchy's Lexus Sandwich Calcium Crackers - Vegetable,Per Serving (100g),505kcal,215kcal,24g,11g,0g,0mg,437mg,65g,2g,13g,8g,,,,
Khong Guan Crackers - Family,Per Serving (36g),180cal,80kcal,9g,4g,0g,0mg,190mg,21g,,1g,4g,,,,
Hup Seng Crackers - Wholemeal,Per Serving (22.5g),120cal,60cal,6g,3.5g,0g,0mg,100mg,14g,1g,2g,,,,,
Khong Guan Biscuits - Sultana,Per Serving (30g),130kcal,35kcal,4g,2g,0g,0mg,85mg,21g,11g,11g,2g,,,,
Munchy's Crackers - Vegetables,Per Serving (100g),480kcal,160kcal,18g,9g,0g,0mg,500mg,67g,3g,2g,11g,,,,
Nabisco Chicken in a Biskit Baked Snack Crackers,Per Serving (31g),,,8g,0.5g,0g,0mg,230mg,19g,0g,2g,2g,,,,
Cowhead Crispy Crackers - Cheese,Per Serving (26g),,,6g,,,,105mg,,,5g,,,,,
Shoon Fatt Crackers - Light Treat (Cream Special),Per Serving (20g),100kcal,42kcal,5g,2g,0g,0mg,106mg,13g,1g,1g,2g,,,,
Shoon Fatt Crackers - Sweeties (Sugar),Per Serving (20g),93kcal,27kcal,3g,1g,0g,0mg,120mg,15g,1g,3g,2g,,,,