product,Attributes,Energy,Total Fat,Saturated Fat,Carbohydrate,of which Sugars,Protein,Salt,Per Serving,Trans Fat,Sodium,Sugars,Cholesterol,Dietary Fibre,Dietary Fiber,Iron,Calcium,Energy from Fat,Total Carbohydrates,Polyunsaturated Fat,Calories,Saturated fat,Trans fat,Monounsaturated Fat,OfWhichSaturates,ofwhichSugars,Fibre,Moisture,Ash,Potassium,type
Loacker Quadratini Crispy Wafers - Matcha-Green Tea,Per Serving (100g),503kcal,24g,21g,62g,27g,8g,0.42g,100g,,,27g,,,,,,,,,,,,,,,,,,,wafer
Alor Durian Wafer 21g x 10,Per Serving (100g),541kcal,31.1g,,61.1g,,4.6g,,100g,0g,61mg,,,,,,,,,,,,,,,,,,,,wafer
Beryl's Coconut Rolls Original,Per Serving (75g),941kj,7.1g,,38.3g,,1.8g,,75g,,30mg,23.0g,,,,,,,,,,,,,,,,,,,wafer
Julie's Love Letter Wafer Biscuit Roll - Chocolate,Per Serving (30g),,4g,2g,23g,,,,30g,0g,65mg,13g,0g,13g,,,,,,,,,,,,,,,,,wafer
Julie's Love Letter Wafer Biscuit Roll - Strawberry,Per Serving (30g),,5g,2.5g,22g,,,,30g,0g,65mg,12g,0g,0g,,,,,,,,,,,,,,,,,wafer
Lee S'bery Wafers Sticks,Per Serving (180g),,31.6g,23.7g,,,6.2g,,180g,0g,48mg,23.2g,0mg,,2.5g,,,,58.5g,,,,,,,,,,,,wafer
Loacker Crispy Wafer Bar - Milk,Per Serving (100g),529kcal,28g,24g,59g,27g,8.7g,0.41g,100g,,,27g,,,,,,,,,,,,,,,,,,,wafer
Loacker Crispy Wafer Bar - Cremkakao,Per Serving (100g),511kcal,26g,22g,59g,28g,7.7g,0.31g,100g,,,28g,,,,,,,,,,,,,,,,,,,wafer
Mincher Peanut Flavor Wafer,Per Serving (400g),,29.2g,,47.9g,,11.4g,,400g,,71mg,10.9g,0mg,,0g,0mg,0mg,,,,574kcal,21.7g,0g,,,,,,,,wafer
Redondo Cream Wafers - Cappuccino,Per Serving (36g),707kJ,6.5g,2.7g,27g,,1.1g,,36g,0g,81mg,12.6g,,1g,,,,,,0.9g,,,,1.8g,,,,,,,wafer
"Schar Schar Wafers with Lemon Cream, Gluten Free",Per Serving (100g),515kcallfat,24g,,71g,,2.4g,0.15g,100g,,,33g,,,,,,,,,,,,,19g,33g,0.9g,,,,wafer
Lee Biscuits Carton - 24 Pack Cheese Cream Wafers Cubes,Per Serving (80g),,32.4g,24.2g,,,4.6g,,80g,0g,314mg,12.8g,0mg,,3.0g,,,,60.2g,,,,,,,,,,,,wafer
Lee Biscuits Carton - 24 Pack Strawberry Cream Wafers Cubes,Per Serving (90g),,31.6g,23.7g,,,6.2g,,90g,0g,48mg,23.2g,0mg,,2.5g,,,,58.5g,,,,,,,,,,,,wafer
Aladdin Danish Deluxe Waffle Cones,Per Serving (100g),1796kg,6.9g,1.7g,84.5g,,6.1g,,100g,,,28.6g,0mg,2.1g,,,18mgs,,,,,,,,,,,1.6g,0.8g,109mgs,wafer
Aladdin Ice Cream Cones,Per Serving (12g),,0.5g,0g,0g,,1g,,12g,0g,7mg,4g,7mg,4g,,,,,,,50g,,,,,,,,,,wafer
Jules Destrooper Biscuits - Butter Crisps,Per Serving (100g),1724kJ,15g,9.1g,65g,,5.1g,0.41g,100g,,,36g,,0g,,,,,,,,,,,,,,,,,wafer
Kagi Swiss Chocolate Wafer Minis - Classic,Per Serving (100g),2334KJ,35g,,57g,,6.5g,0.24g,100g,,,38g,,,,,,,,,,,,,,,,,,,wafer
Lee Biscuits Carton - 24 Pack Chocolate Cream Wafers Cubes,Per Serving (90g),,26.7g,20.1g,,,5.5g,,90g,0g,49mg,30.7g,0mg,,2.3g,,,,64.6g,,,,,,,,,,,,wafer
Lee Biscuits Carton - 24 Pack Lemon Cream Wafers Cubes,Per Serving (90g),,25.5g,19.5g,,,4.7g,,90g,0g,62mg,20.7g,0mg,,3.3g,,,,66.8g,,,,,,,,,,,,wafer
Kagi Swiss Chocolate Wafer Minis - Dark,Per Serving (125g),2344KJ,37g,,55g,,5.9g,0.14g,125g,,,34g,,,,,,,,,,,,,,,,,,,wafer